orderbook_timestamp,book,bid,ask,spread
2024-07-15T08:24:40+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:41+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:41+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:42+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:42+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:43+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:43+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:44+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:44+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:45+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:45+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:47+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:47+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:46+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:48+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:48+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:49+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:49+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:50+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:50+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:51+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:51+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:52+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:52+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:54+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:54+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:55+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:55+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:56+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:56+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:57+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:53+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:57+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:58+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:58+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:24:59+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:24:59+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:25:00+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:25:00+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:25:02+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:25:02+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:25:03+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:25:03+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:25:04+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:25:04+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:25:05+00:00,usd_mxn,17.6,17.61,0.05678591709254975
2024-07-15T08:25:05+00:00,btc_mxn,1023069.98,1023070.02,3.909800820598076e-06
2024-07-15T08:25:06+00:00,usd_mxn,17.6,17.61,0.05678591709254975
